Chain strength,Total reads,Time,Chain break fraction,Lowest energy,Total entropy,Overlaps,Duplicates
13,500,149504.36,0.06380208333333333,-135.73720314152504,137.36677799713624,10,5
14,500,149505.96,0.048177083333333336,-232.96970147706497,137.187092069159,0,3
15,500,149507.16,0.04296875,-369.88025835705884,136.80198338482214,0,2
16,500,149507.96,0.01953125,-480.9796296665765,148.21836461377464,6,1
17,500,149503.96,0.016927083333333332,-482.4812192461975,152.7047225288971,2,3
18,500,149505.16,0.014322916666666666,-496.12248503429765,141.50492517854033,2,1
19,500,149503.56,0.010416666666666666,-525.6068386776285,147.83877144249544,0,0
20,500,149503.16,0.005208333333333333,-541.0060697215779,156.79276730895876,2,0
21,500,149505.56,0.0026041666666666665,-553.4422617490242,139.87406942518405,0,0
22,500,149501.96,0.0013020833333333333,-578.9327319186627,151.00343699339797,2,0
23,500,149505.56,0.005208333333333333,-564.6703933926003,154.23703449607834,2,0
24,500,149504.76,0.0013020833333333333,-553.7505174065587,148.12840216084845,0,0
25,500,149503.16,0.0,-563.5421868903715,153.75849391339736,2,1
26,500,149503.16,0.0013020833333333333,-545.5244428069017,137.97345885771807,2,0
27,500,149508.36,0.0,-532.1519282841549,136.03517683499092,0,0
28,500,149504.36,0.0,-556.2916646051881,138.9220861124851,0,0
29,500,149502.36,0.0026041666666666665,-532.3377358711354,141.59128643545375,0,1
30,500,149505.96,0.0,-499.2056301223406,141.97868866924088,4,0
31,500,149503.96,0.0013020833333333333,-512.1217266950538,146.94818891623365,2,0
32,500,149500.76,0.0,-510.9035749478363,137.48316810669684,2,0
33,500,149504.36,0.0013020833333333333,-536.5419069732961,135.36650206711386,0,0
34,500,149506.76,0.0,-493.9066136214246,132.57447969687,0,0
35,500,149506.76,0.0,-497.74134252516336,139.11202781057642,0,0
36,500,149501.96,0.0026041666666666665,-500.419165655559,148.61182441762338,2,0
37,500,149502.36,0.0,-459.933727872375,134.95645583475454,4,0
38,500,149507.56,0.0,-445.828916439119,137.8917209237303,4,0
39,500,149508.36,0.0,-438.059409753705,126.96251752289055,0,0
40,500,149506.76,0.0,-415.25647312372104,129.8144122561196,0,0
41,500,149506.36,0.0,-436.78959511065466,139.60613325418822,4,0
42,500,149505.96,0.0,-392.2664355189185,135.26526127262557,4,1
