Node multiplier,Edge multiplier,Lowest energy,Chain break fraction,Duplicates,Overlaps
3,6,-552.0481877974242,0.0013020833333333333,2,0
3,7,-538.4711897042773,0.0,2,0
3,8,-484.09823831295733,0.0013020833333333333,0,0
4,1,-737.9922810435833,0.0,3,98
4,2,-578.8132696616685,0.0,0,50
4,3,-559.2556946817559,0.0013020833333333333,1,20
4,4,-560.0752037140059,0.0,2,4
4,5,-543.654897887596,0.0,0,0
4,6,-546.8317219437109,0.0013020833333333333,0,2
4,7,-495.9398983741809,0.0013020833333333333,1,0
4,8,-521.1580779547955,0.0013020833333333333,1,0
5,1,-608.7742484609423,0.0,2,120
5,2,-567.8502838935808,0.0,2,34
5,3,-507.48638660824616,0.0,0,22
5,4,-517.4965774195406,0.0,0,6
5,5,-517.0925315396328,0.0,0,2
5,6,-493.64954404212057,0.0,0,2
5,7,-521.0526610860915,0.0,0,4
5,8,-482.3736753755364,0.0,2,0
6,1,-540.5825239631085,0.0013020833333333333,0,108
6,2,-483.87149957752285,0.0,1,54
6,3,-435.9345556304579,0.0,0,20
6,4,-447.0644545124985,0.0,0,14
6,5,-466.0482337299945,0.0013020833333333333,0,4
6,6,-480.75420124334323,0.0,2,4
6,7,-474.5734370184126,0.0,1,2
6,8,-474.6798630331184,0.0,0,2
7,1,-512.8947881719812,0.0,1,124
7,2,-408.367641656979,0.0,0,48
7,3,-440.10868116333654,0.0,0,34
7,4,-423.94496693655304,0.0,0,8
7,5,-425.632328728942,0.0,0,8
7,6,-425.99589889171017,0.0,0,4
7,7,-453.08374165274546,0.0,0,0
7,8,-480.6292407249915,0.0013020833333333333,1,0
8,1,-500.3547106454565,0.0,1,130
8,2,-421.91948938324697,0.0,0,66
8,3,-395.3651900401982,0.0,0,32
8,4,-376.46308958943393,0.0,0,22
8,5,-385.5380840624887,0.0013020833333333333,0,10
8,6,-421.0130814002257,0.0013020833333333333,0,6
8,7,-414.93854354694037,0.0,0,4
8,8,-429.2441722731848,0.0,0,0
1,1,-1065.2404640224497,0.0013020833333333333,20,128
1,2,-862.3824216183459,0.0,13,34
1,3,-735.6027952000384,0.0026041666666666665,12,16
1,4,-662.5691682975757,0.0026041666666666665,12,4
1,5,-616.7433842254364,0.0026041666666666665,14,2
1,6,-557.2784820373121,0.0,18,2
1,7,-502.6582083874182,0.0,13,0
1,8,-463.52974767928225,0.0013020833333333333,19,0
2,1,-921.0287727436958,0.0,6,110
2,2,-772.5132116022551,0.0,1,34
2,3,-712.1892842606287,0.0,3,18
2,4,-665.0479855487865,0.0,3,4
2,5,-633.448678458214,0.0,3,2
2,6,-568.9074861919514,0.0013020833333333333,3,0
2,7,-532.2609506606588,0.0026041666666666665,8,0
2,8,-490.5200684978812,0.00390625,4,0
3,1,-787.2532425869977,0.0,1,108
3,2,-676.2808349992752,0.0,1,30
3,3,-630.5674098118653,0.0013020833333333333,0,20
3,4,-592.2443457997123,0.0,2,6
3,5,-573.3877712623535,0.0,1,4
3,6,-543.1080221173696,0.0,3,2
3,7,-523.5504351372057,0.0013020833333333333,1,4
3,8,-479.89418479023294,0.0013020833333333333,1,0
4,1,-674.2545695628862,0.0,2,112
4,2,-560.3612321234108,0.0,0,42
4,3,-567.4409399715237,0.0,0,18
4,4,-551.7963401625252,0.0,1,10
4,5,-566.4669840890815,0.0,1,4
4,6,-522.7907140066224,0.0,2,2
4,7,-519.0460503156586,0.0,0,0
4,8,-493.4545569405792,0.0,1,0
5,1,-624.9929193504166,0.0,0,106
5,2,-515.140311082089,0.0,1,32
5,3,-502.87565785129243,0.0,1,12
5,4,-541.40854146281,0.0,1,6
5,5,-483.3324361672319,0.0013020833333333333,2,4
5,6,-506.41046256592307,0.0,0,4
5,7,-497.23919176327587,0.0,0,0
5,8,-497.3691944853739,0.0,1,2
6,1,-565.387681838221,0.0,0,136
6,2,-455.73097823976906,0.0,2,60
6,3,-470.1427858737418,0.0,1,34
6,4,-461.5269336995872,0.0,1,12
6,5,-529.3760060826044,0.0,0,0
6,6,-474.30396371014615,0.0,0,2
6,7,-468.24310220331296,0.0,0,2
6,8,-461.82180969453003,0.0,0,2
7,1,-521.8651217324536,0.0,0,118
7,2,-442.80146299626244,0.0013020833333333333,1,52
7,3,-384.28638341541335,0.0,0,20
7,4,-395.36273319130834,0.0,0,10
7,5,-438.38339591995305,0.0,0,6
7,6,-476.65677023137846,0.0,0,6
7,7,-442.0092324418121,0.0,0,2
7,8,-493.1710206407741,0.0,0,0
8,1,-478.35272496971277,0.0,1,144
8,2,-393.2314212827581,0.0,0,58
8,3,-354.3834543693153,0.0,0,40
8,4,-384.5168640791169,0.0,0,14
8,5,-418.70865945818696,0.0,0,14
8,6,-410.99436739869765,0.0,0,2
8,7,-433.39059532822336,0.0,0,2
8,8,-451.76240784874386,0.0,1,0
