Chain strength,Total reads,Time,Chain break fraction,Lowest energy,Total entropy,Overlaps,Duplicates
35,500,150683.56,0.01889763779527559,-6.398157752596688,16.439143894177754,4,3
36,500,150679.16,0.02047244094488189,6.827014713507994,11.694031396341224,2,1
37,500,150677.16,0.014173228346456693,46.42484549158016,13.316587645259489,4,3
38,500,150680.36,0.009448818897637795,64.2875307494954,13.31658764525949,6,1
39,500,150681.56,0.01732283464566929,23.296717681018194,13.31658764525949,2,2
40,500,150681.56,0.012598425196850394,44.512377183639444,14.954228419305052,0,3
41,500,150680.36,0.007874015748031496,61.21074608127199,12.505309520800356,6,0
42,500,150679.56,0.009448818897637795,99.95204515950334,12.382753271882091,4,5
43,500,150685.16,0.009448818897637795,102.52352030692634,14.81658764525949,4,2
44,500,150683.56,0.007874015748031496,90.86017596615298,15.535932585250562,4,5
45,500,150681.96,0.0031496062992125984,52.96084206794828,10.194031396341224,0,4
46,500,150679.16,0.007874015748031496,176.34704763278955,10.974686456350154,8,2
47,500,150677.96,0.0031496062992125984,116.57447342618687,10.31658764525949,6,1
48,500,150688.76,0.006299212598425197,179.59222412174384,11.694031396341225,8,3
49,500,150684.36,0.006299212598425197,187.67386429657168,11.816587645259489,10,2
50,500,150687.56,0.007874015748031496,227.639363821399,10.852130207431887,10,4
10,500,150686.36,0.3228346456692913,348.45383219797435,9.382753271882091,0,1
11,500,150682.36,0.2803149606299213,319.3714759681072,7.760197022963826,0,0
12,500,150683.16,0.25826771653543307,296.6256474152319,10.882753271882091,2,0
13,500,150685.56,0.2346456692913386,253.67562243861042,10.882753271882091,2,0
14,500,150687.56,0.215748031496063,235.21582245766166,5.341901188909337,0,0
15,500,150687.16,0.17795275590551182,197.43982485453157,10.178492857018316,4,1
16,500,150687.16,0.17480314960629922,165.72429333414576,5.41829583405449,2,1
17,500,150683.16,0.16220472440944883,141.84613352802512,7.040852082972755,2,0
18,500,150686.76,0.15118110236220472,135.35590853235206,8.464457437827603,2,1
19,500,150687.56,0.11811023622047244,117.34043398414644,11.694031396341225,0,2
20,500,150684.36,0.13385826771653545,99.04876985945882,11.204260414863775,0,1
21,500,150682.36,0.11023622047244094,82.08896987851003,7.745112497836532,0,1
22,500,150680.76,0.09921259842519685,60.26228119696276,10.882753271882091,0,3
23,500,150683.56,0.09291338582677165,74.3133622984584,11.617636751196072,0,0
24,500,150686.36,0.07874015748031496,21.598284792267805,14.14295029484592,0,0
25,500,150683.16,0.06929133858267716,54.660118993972375,14.234883479313979,2,2
26,500,150681.16,0.07086614173228346,37.53238120648864,13.423605354854846,0,2
27,500,150685.16,0.04251968503937008,3.7497760310888584,14.020848060123265,2,0
28,500,150681.56,0.04094488188976378,-26.35756771046723,14.816587645259489,0,2
29,500,150683.16,0.048818897637795275,-18.18347634585811,14.112327230395714,2,1
30,500,150677.16,0.03779527559055118,26.434812469259498,8.540852082972755,0,4
31,500,150682.76,0.031496062992125984,-18.045899562930025,16.31658764525949,0,2
32,500,150682.36,0.025196850393700787,24.092393275037182,14.81658764525949,2,3
33,500,150682.36,0.02047244094488189,20.48064804107196,11.57147514742296,2,3
34,500,150676.36,0.02204724409448819,48.139788939162145,13.194031396341225,4,1
35,500,150683.56,0.01889763779527559,4.744856533366404,9.474686456350154,2,2
36,500,150679.16,0.015748031496062992,47.84838685531744,12.505309520800356,4,5
37,500,150677.16,0.011023622047244094,74.42070604001447,15.658488834168827,4,1
38,500,150680.36,0.01732283464566929,14.861975279249494,13.439143894177755,4,2
39,500,150681.56,0.014173228346456693,17.464591496436014,13.31658764525949,4,1
40,500,150681.56,0.015748031496062992,94.68647462462167,14.816587645259489,4,3
41,500,150680.36,0.012598425196850394,93.04889784169362,11.694031396341225,6,2
42,500,150679.56,0.011023622047244094,58.058084773216564,12.413376336332297,0,3
43,500,150685.16,0.009448818897637795,79.74739472156162,13.31658764525949,6,2
44,500,150683.56,0.004724409448818898,92.25309426544004,10.040852082972755,4,2
45,500,150681.96,0.011023622047244094,164.25433440216548,14.127865769718621,6,3
46,500,150679.16,0.006299212598425197,152.5608210111371,13.882753271882091,10,1
47,500,150677.96,0.012598425196850394,113.7591198412791,13.882753271882091,6,2
48,500,150688.76,0.006299212598425197,159.41780672517382,14.81658764525949,10,3
49,500,150684.36,0.004724409448818898,150.3255475087453,11.005309520800358,6,3
50,500,150687.56,0.006299212598425197,212.70021992722127,12.474686456350152,6,6
